Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Bam Adebayo,22,6,6,234,0.663,0.608,6,26.1,16.1,21,2.1,2.5,13.2,21.9,127,109,21.5
2,Goran Dragić,33,6,6,207,0.565,0.51,1,12.1,6.7,22.4,0.7,0.6,13.5,27.3,105,118,12.9
3,Tyler Herro,20,6,0,208,0.636,0.61,2,19.9,11,23.3,0.5,0,13.4,22.4,117,117,15
4,Jimmy Butler,30,6,6,230,0.535,0.443,6.3,11.7,8.9,20,2,1.6,9.4,22.9,114,114,16.2
5,Duncan Robinson,25,6,6,171,0.636,0.618,2.1,8.6,5.5,8.8,1.2,1.1,1.7,15.7,125,117,9.2
6,Jae Crowder,29,6,6,201,0.5,0.46,1.2,16.2,8.7,11,1.3,3.5,5.4,16.6,101,114,9
7,Andre Iguodala,36,6,0,103,0.609,0.611,3.2,9.5,6.6,7.6,2.9,2.8,17.5,10,98,112,3.9
8,Kelly Olynyk,28,4,0,40,0.403,0.333,8.5,10,9.1,7.5,0,2.1,0,23.7,94,119,1.8
9,Derrick Jones,22,4,0,31,0.3,0.3,14,4.8,9.6,3.9,1.7,2.7,0,7.1,110,117,0.9
10,Kendrick Nunn,24,3,0,23,0.188,0.188,0,18.5,8.3,16.9,0,0,0,16.4,61,119,-0.5
11,Solomon Hill,28,3,0,17,,,6.7,18.6,13.4,14.9,0,0,,0,217,118,0.7
,Team Totals,26.1,6,,1465,0.575,0.526,18.9,76.1,47.3,66.5,6.8,8.4,10.1,,114.4,114.5,
