Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Bam Adebayo,22,6,6,234,48,79,0,1,35,45,13,53,66,31,10,6,15,20,131,0.608,0,0.778,39.1,21.8,11,5.2,1.7,1
2,Goran Dragić,33,6,6,207,43,97,13,39,24,27,2,21,23,28,3,1,17,20,123,0.443,0.333,0.889,34.5,20.5,3.8,4.7,0.5,0.2
3,Tyler Herro,20,6,0,208,45,86,15,43,10,10,4,34,38,29,2,0,14,11,115,0.523,0.349,1,34.7,19.2,6.3,4.8,0.3,0
4,Jimmy Butler,30,6,6,230,38,88,2,12,36,42,13,23,36,30,9,4,11,14,114,0.432,0.167,0.857,38.4,19,6,5,1.5,0.7
5,Duncan Robinson,25,6,6,171,24,55,20,49,7,9,3,13,16,10,4,2,1,19,75,0.436,0.408,0.778,28.5,12.5,2.7,1.7,0.7,0.3
6,Jae Crowder,29,6,6,201,23,63,12,47,12,16,2,28,30,15,5,7,4,15,70,0.365,0.255,0.75,33.5,11.7,5,2.5,0.8,1.2
7,Andre Iguodala,36,6,0,103,8,18,6,14,1,2,3,9,12,6,6,3,4,7,23,0.444,0.429,0.5,17.2,3.8,2,1,1,0.5
8,Kelly Olynyk,28,4,0,40,5,18,2,10,5,7,3,3,6,2,0,1,0,9,17,0.278,0.2,0.714,9.9,4.3,1.5,0.5,0,0.3
9,Derrick Jones,22,4,0,31,1,5,1,3,0,0,4,1,5,1,1,1,0,5,3,0.2,0.333,,7.6,0.8,1.3,0.3,0.3,0.3
10,Kendrick Nunn,24,3,0,23,1,8,1,5,0,0,0,3,3,3,0,0,0,6,3,0.125,0.2,,7.6,1,1,1,0,0
11,Solomon Hill,28,3,0,17,0,0,0,0,0,0,1,3,4,2,0,0,0,2,0,,,,5.5,0,1.3,0.7,0,0
,Team Totals,26.1,6,,1465,236,517,72,223,130,158,48,191,239,157,40,25,66,128,674,0.456,0.323,0.823,244.2,112.3,39.8,26.2,6.7,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
