Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Jimmy Butler,30,6,6,258,53,96,4,13,47,53,15,35,50,59,13,5,18,8,157,0.552,0.308,0.887,43,26.2,8.3,9.8,2.2,0.8
2,Tyler Herro,20,6,5,208,32,87,11,30,13,16,1,24,25,18,3,0,14,7,88,0.368,0.367,0.813,34.6,14.7,4.2,3,0.5,0
3,Duncan Robinson,25,6,6,192,21,52,18,46,15,15,1,15,16,15,5,2,4,21,75,0.404,0.391,1,32,12.5,2.7,2.5,0.8,0.3
4,Jae Crowder,29,6,6,189,23,55,13,39,8,10,4,27,31,7,2,3,4,22,67,0.418,0.333,0.8,31.5,11.2,5.2,1.2,0.3,0.5
5,Kendrick Nunn,24,6,0,135,24,51,9,23,6,6,3,18,21,11,0,1,8,10,63,0.471,0.391,1,22.6,10.5,3.5,1.8,0,0.2
6,Bam Adebayo,22,4,4,135,23,43,0,0,15,24,6,19,25,10,1,3,8,11,61,0.535,,0.625,33.7,15.3,6.3,2.5,0.3,0.8
7,Kelly Olynyk,28,5,0,114,20,41,7,17,11,13,4,26,30,7,2,3,4,15,58,0.488,0.412,0.846,22.7,11.6,6,1.4,0.4,0.6
8,Andre Iguodala,36,6,0,118,8,19,3,8,0,0,4,12,16,12,2,2,3,16,19,0.421,0.375,,19.7,3.2,2.7,2,0.3,0.3
9,Meyers Leonard,27,2,2,22,5,6,2,2,2,2,0,1,1,1,1,0,0,3,14,0.833,1,1,11,7,0.5,0.5,0.5,0
10,Solomon Hill,28,4,0,25,5,9,2,6,0,0,0,3,3,1,1,0,0,3,12,0.556,0.333,,6.3,3,0.8,0.3,0.3,0
11,Goran Dragić,33,2,1,34,5,16,0,5,1,2,1,5,6,5,3,0,2,3,11,0.313,0,0.5,16.9,5.5,3,2.5,1.5,0
12,Derrick Jones,22,4,0,10,1,2,0,0,0,0,0,1,1,0,0,0,1,0,2,0.5,,,2.5,0.5,0.3,0,0,0
,Team Totals,25.6,6,,1440,220,477,69,189,118,141,39,186,225,146,33,19,66,119,627,0.461,0.365,0.837,240,104.5,37.5,24.3,5.5,3.2
