Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Goran Dragić,33,4,4,137,0.567,0.56,4.3,9.5,7,28.9,1.8,0,11.1,29.6,112,108,15.7
2,Jimmy Butler,30,4,4,135,0.585,0.449,6.4,12.2,9.2,19.2,3.7,2.9,18.2,27.5,111,102,16.4
3,Tyler Herro,20,4,0,129,0.595,0.542,1.6,12.7,7.2,14.7,0.8,0.9,6.7,20.6,121,109,12.4
4,Bam Adebayo,22,4,4,137,0.541,0.479,10.3,26.7,18.8,25.1,1.4,3.6,17.8,21.8,112,103,14.6
5,Duncan Robinson,25,4,4,101,0.687,0.656,1,12.5,6.9,8.6,1,0.9,12.1,18.4,112,108,8.4
6,Jae Crowder,29,4,4,102,0.567,0.533,3.4,26.2,15,9.1,1.9,0,2.8,15.4,123,105,8.9
7,Kelly Olynyk,28,4,0,55,0.629,0.605,5.9,46.7,27.1,12.5,0,1.9,16.8,19.5,112,104,5.8
8,Andre Iguodala,36,4,0,107,0.8,0.773,2.1,9.1,5.8,5.6,2.4,4.7,14.4,5.8,141,103,6.4
9,Derrick Jones,22,4,0,43,0.549,0.583,5.2,11.6,8.4,19.7,3.5,0,10.9,9.9,126,104,3.1
10,Kendrick Nunn,24,1,0,14,0.595,0.5,0,21.1,10.8,20.3,0,0,0,18,148,99,6.6
,Team Totals,26,4,,960,0.593,0.545,23.1,86.3,55.5,64,9.1,8.8,12.6,,116,105,
