Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,43:26:00,0.548,0.471,0.176,0.412,8.5,18.4,13.6,42.9,3.7,2.8,13,26.2,118,107,9.9
Tyler Herro,37:19:00,0.531,0.528,0.389,0.222,3.3,18.4,11.1,17.8,1.4,0,13.2,30,97,114,1.3
Jae Crowder,34:38:00,0.508,0.429,1,0.286,3.6,19.8,12,9.5,1.5,3.5,0,11.2,120,112,1.2
Bam Adebayo,33:22:00,0.735,0.75,0,0.625,7.4,17.1,12.4,6.2,1.6,0,22.7,19.5,115,114,-0.8
Duncan Robinson,32:43:00,0.882,0.786,0.857,0.857,0,3.5,1.8,16.8,1.6,3.7,9.4,16,165,116,9.8
Kendrick Nunn,25:58:00,0.273,0.273,0.545,0,0,17.6,9.1,0,0,0,0,20.9,57,118,-12.3
Andre Iguodala,20:09,0.5,0.5,0.333,0,0,5.7,2.9,0,2.7,0,0,7.3,99,115,-3.8
Kelly Olynyk,12:25,0.41,0.25,0.5,0.5,0,18.4,9.5,0,0,0,17,23.3,72,117,-15.9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
