Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,47:12:00,11,19,0.579,1,3,0.333,12,12,1,5,7,12,11,5,1,3,2,35,5
Jae Crowder,39:47:00,4,13,0.308,2,9,0.222,1,1,1,1,2,3,1,0,0,3,5,11,1
Bam Adebayo,37:55:00,5,12,0.417,0,0,,3,4,0.75,1,3,4,4,0,1,3,3,13,2
Duncan Robinson,37:03:00,8,15,0.533,7,13,0.538,3,3,1,1,4,5,2,1,0,1,3,26,7
Tyler Herro,30:37:00,4,11,0.364,2,3,0.667,2,2,1,0,1,1,3,0,0,2,1,12,-2
Kendrick Nunn,27:40:00,6,11,0.545,2,4,0.5,0,0,,1,3,4,3,0,0,0,0,14,3
Andre Iguodala,19:46,0,2,0,0,1,0,0,0,,0,6,6,2,1,1,1,5,0,-1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
