Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,B. Adebayo | J. Butler | J. Crowder | G. Dragić | D. Robinson,203:44:00,4.1,0.9,1.5,0.002,1.8,2.9,0.017,0.01,0.5,2.1,-0.061,1,2.3,0.9,2.3,1,2.3,3.3,1.2,-1.5,-1,-0.9
2,B. Adebayo | J. Butler | J. Crowder | T. Herro | D. Robinson,122:57:00,-14.1,-6.9,-3.8,-0.06,-4.7,-6.4,-0.061,-0.084,4.4,7.7,-0.095,-1.6,-5.8,-4.9,-5.8,-3.6,-8.9,1.2,-0.5,-3.3,-0.1,-3.6
3,B. Adebayo | J. Butler | J. Crowder | G. Dragić | T. Herro,71:50:00,9.6,-1.2,-7,0.02,1.7,3.2,0.02,0.035,10.3,5.8,0.2,-6.7,-10.1,1.5,-10.1,-3.8,-8.5,1.1,-1.6,-1.9,-0.8,-3
4,B. Adebayo | J. Butler | G. Dragić | T. Herro | A. Iguodala,46:37:00,15.9,12.7,8.3,0.099,0.5,-6.2,0.073,0.094,-10,-2.4,-0.283,9.6,27.1,14.8,27.1,11.8,28.8,1.2,0.4,2.6,0.4,0
5,G. Dragić | T. Herro | A. Iguodala | D. Jones | K. Olynyk,34:35:00,3,-1.4,-0.6,-0.013,6.6,4.5,0.17,0.025,-0.9,-6.6,0.117,-5.8,-8.2,4.5,-8.2,0,0,-2.1,-3.6,-0.3,0.8,-1.6
6,J. Butler | J. Crowder | T. Herro | A. Iguodala | D. Robinson,28:58:00,-22.8,-3.5,14,-0.122,0,8.8,-0.088,-0.136,-15.8,-21.1,0.167,0,-12.2,-21.1,-12.2,-10.5,-26.1,-1.8,0,-3.5,-3.5,7
7,J. Butler | J. Crowder | T. Herro | K. Olynyk | D. Robinson,28:48:00,-10.3,-7.6,-9.7,-0.026,-2.5,-2,-0.043,-0.031,7.5,12.3,-0.083,-7.4,-15.3,-3.5,-15.3,-6,-14.3,-4.9,0.3,1.8,-3.9,-2.6
8,J. Butler | T. Herro | A. Iguodala | K. Nunn | K. Olynyk,28:35:00,-1.5,-1.1,-10.9,0.041,-6.9,-22.4,0,0.008,7.6,0.7,0.19,-10.4,-16.7,-2.4,-16.7,-6.2,-12.7,-10.2,1.7,-3.6,-3.3,0.9
9,B. Adebayo | G. Dragić | T. Herro | A. Iguodala | K. Nunn,23:56,1.9,8.8,2.9,0.084,-11.1,-9.2,-0.25,0.018,-4.6,-16.2,0.295,-3.3,-2.1,9,-2.1,4.1,10,9.1,-8.9,1.5,3.5,5.2
10,B. Adebayo | G. Dragić | T. Herro | A. Iguodala | D. Robinson,23:38,-22.6,-6.8,1.9,-0.103,-1.1,6.8,-0.119,-0.113,-7.9,-6.2,-0.069,-0.3,-4.8,-11,-4.8,-6.6,-20,-7.3,2.5,-5.5,-1.1,0
,,,,,,,,,,,,,,,,,,,,,,,,
