Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,38:06:00,0.564,0.438,0.25,0.5,5.5,12.9,8.9,19.7,2.7,0,0,24,124,100,10
Bam Adebayo,38:03:00,0.523,0.571,0,1.143,8.2,19.4,13.4,22,4,2.2,22.2,16.6,94,94,3.8
Duncan Robinson,24:28:00,0.214,0.214,0.857,0,0,15.1,6.9,15.1,2.1,0,0,13.4,57,101,-6.2
Kendrick Nunn,23:04,0.421,0.364,0.364,0.182,0,16,7.3,10.6,4.4,3.7,20.2,30.2,68,93,-0.6
Meyers Leonard,12:03,0,0,1,0,0,10.2,4.7,0,0,0,66.7,11.7,0,107,-20.1
Goran Dragić,34:07:00,0.563,0.531,0.438,0.125,3.1,18,9.9,54.3,0,0,10.6,25.9,110,105,8.6
Kelly Olynyk,29:59:00,0.337,0.318,0.545,0.182,0,12.3,5.7,0,0,0,14.4,21.7,57,106,-12.5
Tyler Herro,23:30,0.394,0.313,0.625,0.25,0,10.5,4.8,0,2.2,0,0,17.7,83,102,-2.2
James Johnson,14:34,0,0,0.667,0,14.3,16.9,15.5,11.8,0,0,0,9.6,50,105,-7.2
Chris Silva,2:06,,,,,0,0,0,0,0,0,,0,0,109,-16.7
Team Totals,240,0.442,0.388,0.438,0.3,17.4,74.4,43.5,64.3,9.5,3.5,11.7,100,84.8,100.7,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
