Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,38:06:00,7,16,0.438,0,4,0,8,8,1,2,4,6,3,2,0,0,0,22,-13
Bam Adebayo,38:03:00,4,7,0.571,0,0,,3,8,0.375,3,6,9,4,3,1,3,2,11,-12
Duncan Robinson,24:28:00,1,7,0.143,1,6,0.167,0,0,,0,3,3,2,1,0,0,3,3,-9
Kendrick Nunn,23:04,4,11,0.364,0,4,0,2,2,1,0,3,3,1,2,1,3,0,10,-24
Meyers Leonard,12:03,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,2,2,0,-14
Goran Dragić,34:07:00,7,16,0.438,3,7,0.429,2,2,1,1,5,6,7,0,0,2,0,19,-3
Kelly Olynyk,29:59:00,3,11,0.273,1,6,0.167,1,2,0.5,0,3,3,0,0,0,2,4,8,-4
Tyler Herro,23:30,2,8,0.25,1,5,0.2,2,2,1,0,2,2,0,1,0,0,0,7,2
James Johnson,14:34,0,3,0,0,2,0,0,0,,2,2,4,1,0,0,0,0,0,4
Chris Silva,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,240,28,80,0.35,6,35,0.171,18,24,0.75,8,29,37,18,9,2,12,12,80,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
