Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Jimmy Butler,30,5,5,183,0.682,0.573,7.2,9.8,8.8,20.4,2.5,0.7,14.9,24.9,130,108,20.6
2,Goran Dragić,33,5,5,176,0.557,0.513,3.5,11.4,7.7,22,1.7,0.5,10.1,25.5,111,110,14.1
3,Bam Adebayo,22,5,5,181,0.685,0.6,10.8,25.9,18.8,20.8,1.1,1,16.1,18.8,133,107,17.7
4,Jae Crowder,29,5,5,168,0.662,0.642,1.5,17.6,10.2,11.2,0.9,1,9.5,17.2,121,109,11.7
5,Tyler Herro,20,5,0,161,0.542,0.5,0,17.5,9.6,18.3,0.3,0.5,14.1,20,103,110,9.1
6,Duncan Robinson,25,5,5,136,0.58,0.568,0,11.1,5.8,8.9,1.1,0.7,13.4,15.1,99,112,5.3
7,Kelly Olynyk,28,4,0,50,0.764,0.735,7.7,28.4,19.1,19,2,4.9,20.3,22.4,124,101,7
8,Kendrick Nunn,24,5,0,67,0.339,0.339,0,7.4,4.1,9.6,2.2,2.7,12.5,21.6,67,106,1.1
9,Andre Iguodala,36,5,0,81,0.491,0.471,2.9,16.2,10.4,18.1,2.5,3.5,21.4,13.1,93,103,3
10,Derrick Jones,22,3,0,14,1,1,0,0,0,0,6.2,24.2,0,13.3,145,91,3.2
11,Meyers Leonard,27,1,0,9,0,0,0,0,0,31,0,0,0,10.4,64,112,-0.4
12,Gabe Vincent,23,1,0,0,,,0,0,0,0,0,0,,0,,112,0
,Team Totals,26,5,,1225,0.605,0.55,19.5,77.2,50.8,66.7,7.6,7.5,13.5,,115.1,108.2,
