Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Jimmy Butler,30,5,5,183,33,62,5,11,46,54,11,18,29,22,9,1,15,9,117,0.532,0.455,0.852,36.7,23.4,5.8,4.4,1.8,0.2
2,Goran Dragić,33,5,5,176,35,80,12,34,17,20,5,19,24,22,6,1,10,17,99,0.438,0.353,0.85,35.2,19.8,4.8,4.4,1.2,0.2
3,Bam Adebayo,22,5,5,181,30,50,0,0,26,29,16,44,60,22,4,2,12,16,86,0.6,,0.897,36.2,17.2,12,4.4,0.8,0.4
4,Jae Crowder,29,5,5,168,23,53,22,51,8,10,2,28,30,11,3,2,6,12,76,0.434,0.431,0.8,33.5,15.2,6,2.2,0.6,0.4
5,Tyler Herro,20,5,0,161,21,56,14,33,10,11,0,28,28,18,1,1,10,5,66,0.375,0.424,0.909,32.2,13.2,5.6,3.6,0.2,0.2
6,Duncan Robinson,25,5,5,136,15,37,12,34,3,4,0,14,14,8,3,1,6,14,45,0.405,0.353,0.75,27.2,9,2.8,1.6,0.6,0.2
7,Kelly Olynyk,28,4,0,50,10,17,5,11,5,6,3,14,17,6,2,3,5,8,30,0.588,0.455,0.833,12.6,7.5,4.3,1.5,0.5,0.8
8,Kendrick Nunn,24,5,0,67,9,28,1,12,0,0,0,5,5,4,3,2,4,5,19,0.321,0.083,,13.3,3.8,1,0.8,0.6,0.4
9,Andre Iguodala,36,5,0,81,7,17,2,10,2,3,2,13,15,9,4,3,5,16,18,0.412,0.2,0.667,16.1,3.6,3,1.8,0.8,0.6
10,Derrick Jones,22,3,0,14,3,4,2,3,0,0,0,0,0,0,2,4,0,4,8,0.75,0.667,,4.6,2.7,0,0,0.7,1.3
11,Meyers Leonard,27,1,0,9,0,2,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,,8.9,0,0,2,0,0
12,Gabe Vincent,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.3,0,0,0,0,0
,Team Totals,26,5,,1225,186,406,75,201,117,137,39,183,222,124,37,20,73,107,564,0.458,0.373,0.854,245,112.8,44.4,24.8,7.4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
