Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Anthony Davis,26,5,5,190,0.671,0.576,4,17.3,10.6,12.1,1.9,1.4,8.6,29.6,131,114,24.4
2,LeBron James,35,5,5,183,0.608,0.567,5.9,31.3,18.4,43.2,0.8,2.2,13.3,31.2,123,113,24.1
3,Kentavious Caldwell-Pope,26,5,5,149,0.689,0.671,1.7,6.4,4,3.9,2,1.9,9,13.3,126,116,8.4
4,Kyle Kuzma,24,5,0,111,0.563,0.538,3.5,9.1,6.5,5.5,0.5,0.7,14.1,19.9,101,119,5
5,Dwight Howard,34,5,2,101,0.749,0.789,12.7,19.2,16.4,1.7,2.5,4.3,15.5,14.4,133,110,7.7
6,Rajon Rondo,33,5,0,107,0.558,0.565,3.5,14.6,9.1,48.9,2.8,0,24.4,18.7,113,114,8.4
7,Danny Green,32,5,5,121,0.42,0.39,7.3,11.9,9.3,5.5,2,2.8,2.2,16.4,103,113,5.1
8,Alex Caruso,25,5,0,122,0.491,0.444,1,7.4,4.3,16.2,2.5,2.9,16.4,13.4,101,113,4.8
9,Markieff Morris,30,5,0,68,0.773,0.773,1.9,14.8,8.5,5.8,3,1.2,31.3,10.7,93,113,2.2
10,JaVale McGee,32,5,3,38,0.444,0.429,10.2,17.2,13.6,7.7,1.3,2.2,38.8,14.7,65,114,0.1
11,J.R. Smith,34,1,0,4,0.75,0.75,0,35.2,16.4,0,0,0,0,21.1,135,119,2.3
12,Quinn Cook,26,1,0,3,0,0,0,0,0,39,0,0,0,15.5,63,126,0
13,Jared Dudley,34,1,0,4,,,0,0,0,0,11.9,0,,0,,100,1
,Team Totals,29.6,5,,1200,0.606,0.563,23.8,78.1,50.8,63.7,9.4,10,13.3,,118.1,113.5,
