Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Anthony Davis,26,5,5,190,50,92,6,18,50,55,6,25,31,13,7,3,11,16,156,0.543,0.333,0.909,38,31.2,6.2,2.6,1.4,0.6
2,LeBron James,35,5,5,183,52,97,6,21,25,32,8,44,52,45,3,4,17,9,135,0.536,0.286,0.781,36.6,27,10.4,9,0.6,0.8
3,Kentavious Caldwell-Pope,26,5,5,149,20,38,11,25,5,6,2,7,9,4,6,3,4,13,56,0.526,0.44,0.833,29.8,11.2,1.8,0.8,1.2,0.6
4,Kyle Kuzma,24,5,0,111,19,40,5,17,5,6,3,8,11,4,1,1,7,11,48,0.475,0.294,0.833,22.1,9.6,2.2,0.8,0.2,0.2
5,Dwight Howard,34,5,2,101,15,19,0,0,11,19,10,16,26,1,5,5,5,20,41,0.789,,0.579,20.2,8.2,5.2,0.2,1,1
6,Rajon Rondo,33,5,0,107,15,31,5,11,3,7,3,12,15,37,6,0,11,13,38,0.484,0.455,0.429,21.4,7.6,3,7.4,1.2,0
7,Danny Green,32,5,5,121,12,41,8,25,5,7,7,10,17,5,5,4,1,12,37,0.293,0.32,0.714,24.2,7.4,3.4,1,1,0.8
8,Alex Caruso,25,5,0,122,11,27,2,13,6,8,1,7,8,15,6,4,6,17,30,0.407,0.154,0.75,24.3,6,1.6,3,1.2,0.8
9,Markieff Morris,30,5,0,68,6,11,5,9,0,0,1,8,9,3,4,1,5,14,17,0.545,0.556,,13.5,3.4,1.8,0.6,0.8,0.2
10,JaVale McGee,32,5,3,38,3,7,0,1,1,2,3,5,8,2,1,1,5,10,7,0.429,0,0.5,7.6,1.4,1.6,0.4,0.2,0.2
11,J.R. Smith,34,1,0,4,1,2,1,2,0,0,0,1,1,0,0,0,0,0,3,0.5,0.5,,4.1,3,1,0,0,0
12,Quinn Cook,26,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,2.8,0,0,1,0,0
13,Jared Dudley,34,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,4.1,0,0,0,1,0
,Team Totals,29.6,5,,1200,204,406,49,142,111,142,44,143,187,130,45,26,72,135,568,0.502,0.345,0.782,240,113.6,37.4,26,9,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
