Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,LeBron James,35,6,6,236,0.671,0.657,5.8,30,17.5,40.4,1.5,1.3,13.6,29,131,110,27.5
2,Anthony Davis,26,6,6,229,0.669,0.612,9.6,23.1,16.3,14.9,1.8,5.2,12.5,24.8,128,108,22.8
3,Kentavious Caldwell-Pope,26,6,6,188,0.512,0.471,2.4,8.7,5.3,9.9,1.6,0.5,5.1,18.8,113,114,8.4
4,Rajon Rondo,33,6,0,156,0.495,0.459,4.4,20.2,11.7,29.5,2,0,16,17.8,110,111,8.6
5,Kyle Kuzma,24,6,0,130,0.487,0.448,5.3,9.3,7.4,2.9,0.4,0.7,11.8,20.2,94,117,3.7
6,Danny Green,32,6,6,137,0.451,0.439,3.2,11.1,7.1,7.1,2.3,3.3,9.1,17.8,93,110,4.8
7,Markieff Morris,30,6,0,128,0.554,0.526,4.4,14.8,9.1,8.7,0,0,12.9,16.2,106,118,4.1
8,Alex Caruso,25,6,1,149,0.567,0.533,5.2,6,5.8,12.3,1.7,0.6,19.3,12.4,111,114,5.3
9,Dwight Howard,34,6,5,71,0.767,0.813,9.9,17.1,13.7,7.7,0.7,3.1,31.1,10,120,117,2.5
10,Quinn Cook,26,2,0,3,0.75,0.75,0,0,0,0,0,0,0,31.5,76,110,1
11,J.R. Smith,34,3,0,10,0.5,0.5,0,13.5,5.9,0,4.8,0,0,12.8,99,112,0.5
12,Jared Dudley,34,3,0,3,0,0,0,0,0,0,0,31.4,0,15.8,0,78,0
,Team Totals,29.5,6,,1440,0.582,0.547,27.3,83.7,54.5,63.3,7.3,9,12.6,,118.1,112.2,
