Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,Anthony Davis,26,5,5,163,0.656,0.612,9.1,20.5,15.1,22.3,2,4.3,5,30.6,138,101,27.7
2,LeBron James,35,5,5,164,0.708,0.681,2.4,30.2,16,54.8,1.7,0.9,20.5,30.9,125,103,25.6
3,Kentavious Caldwell-Pope,26,5,5,131,0.528,0.51,0.9,4.7,2.8,7.8,2.1,0,7,18.2,105,108,7.2
4,Kyle Kuzma,24,5,0,121,0.477,0.43,2.6,16.5,9.2,4.2,0.7,1.5,5,20.4,101,107,6.2
5,Dwight Howard,34,5,0,94,0.621,0.621,17.4,20.5,19.2,6,0.5,0.9,12.9,17.2,124,108,7.1
6,Danny Green,32,5,5,134,0.462,0.464,5.5,6.3,5.6,5.2,2.5,3.5,10.3,15,96,106,5.4
7,JaVale McGee,32,5,5,67,0.714,0.714,18.1,25.3,21.9,10.1,0.7,7.5,8.7,14.3,146,101,7.3
8,Alex Caruso,25,5,0,119,0.455,0.426,3.6,9.5,6.8,19.7,3.1,1.3,23.3,13.5,96,104,5
9,Markieff Morris,30,5,0,88,0.519,0.5,2.4,20.5,11.5,6.4,0.6,1.9,9.8,9.7,109,106,2.8
10,J.R. Smith,34,4,0,54,0.35,0.35,0,0,0,7,0.9,0,25.9,21.5,60,112,-1.2
11,Quinn Cook,26,3,0,19,0.672,0.643,0,5.6,3.1,30.9,0,0,11.8,19.3,139,113,2.8
12,Dion Waiters,28,3,0,30,0.5,0.5,0,6.9,3.8,8,1.7,0,11.1,12.7,103,107,1.9
13,Jared Dudley,34,3,0,16,0,0,0,13.4,6.8,0,9.3,0,33.3,8.3,0,89,0.3
,Team Totals,29.4,5,,1200,0.582,0.552,27.3,78.6,53.1,60.7,8.7,10.1,12.4,,115.4,105,
