Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,Anthony Davis,26,5,5,163,51,89,7,18,40,56,15,32,47,21,7,8,6,9,149,0.573,0.389,0.714,32.6,29.8,9.4,4.2,1.4,1.6
2,LeBron James,35,5,5,164,48,80,13,28,28,38,4,47,51,51,6,2,25,8,137,0.6,0.464,0.737,32.9,27.4,10.2,10.2,1.2,0.4
3,Kentavious Caldwell-Pope,26,5,5,131,19,50,13,32,5,7,1,6,7,8,6,0,4,5,56,0.38,0.406,0.714,26.2,11.2,1.4,1.6,1.2,0
4,Kyle Kuzma,24,5,0,121,18,50,7,23,11,15,3,19,22,4,2,2,3,12,54,0.36,0.304,0.733,24.2,10.8,4.4,0.8,0.4,0.4
5,Dwight Howard,34,5,0,94,18,29,0,1,6,11,15,19,34,4,1,1,5,18,42,0.621,0,0.545,18.9,8.4,6.8,0.8,0.2,0.2
6,Danny Green,32,5,5,134,15,42,9,26,1,3,6,8,14,6,7,6,5,14,40,0.357,0.346,0.333,26.8,8,2.8,1.2,1.4,1.2
7,JaVale McGee,32,5,5,67,15,21,0,0,0,0,12,16,28,4,1,6,2,10,30,0.714,,,13.4,6,5.6,0.8,0.2,1.2
8,Alex Caruso,25,5,0,119,10,27,3,15,4,6,4,11,15,18,8,2,9,13,27,0.37,0.2,0.667,23.8,5.4,3,3.6,1.6,0.4
9,Markieff Morris,30,5,0,88,7,17,3,12,2,3,2,17,19,5,1,2,2,15,19,0.412,0.25,0.667,17.6,3.8,3.8,1,0.2,0.4
10,J.R. Smith,34,4,0,54,5,20,4,16,0,0,0,0,0,3,1,0,7,7,14,0.25,0.25,,13.4,3.5,0,0.8,0.3,0
11,Quinn Cook,26,3,0,19,4,7,1,2,1,1,0,1,1,4,0,0,1,1,10,0.571,0.5,1,6.2,3.3,0.3,1.3,0,0
12,Dion Waiters,28,3,0,30,4,8,0,1,0,0,0,2,2,2,1,0,1,1,8,0.5,0,,10,2.7,0.7,0.7,0.3,0
13,Jared Dudley,34,3,0,16,0,2,0,1,0,0,0,2,2,0,3,0,1,1,0,0,0,,5.2,0,0.7,0,1,0
,Team Totals,29.4,5,,1200,214,442,60,175,98,140,62,180,242,130,44,29,71,114,586,0.484,0.343,0.7,240,117.2,48.4,26,8.8,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
