Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,39:13:00,0.626,0.594,0.313,0.563,2.7,31.5,15.3,42.6,0,5.3,28.6,30.9,100,117,2.1
Anthony Davis,32:58:00,0.759,0.722,0.222,0.222,6.5,12.5,9.1,17.3,3,0,33.6,19.6,104,116,0.3
Kentavious Caldwell-Pope,29:10:00,0.37,0.3,0.6,0.8,0,14.1,6.2,5.1,1.7,0,0,10,89,119,-6
Danny Green,16:40,0.145,0,0.667,0.333,0,24.7,10.8,8.5,0,0,12.7,20.5,39,122,-20
Dwight Howard,14:32,1,1,0,0,14.7,9.4,12.4,12.1,3.4,0,33.3,8.9,142,115,2.9
Rajon Rondo,27:58:00,0.25,0.25,0.375,0,7.6,29.4,17.2,28.1,3.5,0,20,15.5,79,114,-4.8
Alex Caruso,26:05:00,0.602,0.375,0.75,1.5,4.1,0,2.3,11.4,1.9,0,0,11,148,119,3.1
Markieff Morris,25:01:00,0.663,0.654,0.846,0.231,4.3,27.4,14.4,17.1,0,0,6.5,26.5,126,122,10.2
Kyle Kuzma,22:55,0.663,0.615,0.615,0.231,9.3,6,7.9,0,0,0,6.5,29,125,123,4.7
J.R. Smith,5:28,0.5,0.5,1,0,0,25.1,11,0,9,0,0,23.8,99,101,10.8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
