Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,42:13:00,9,15,0.6,2,5,0.4,8,8,1,3,9,12,3,3,3,2,3,28,7
LeBron James,41:51:00,15,21,0.714,6,9,0.667,4,6,0.667,3,10,13,7,3,0,4,1,40,7
Kentavious Caldwell-Pope,31:01:00,6,15,0.4,3,8,0.375,1,1,1,1,2,3,2,1,0,0,1,16,0
Danny Green,23:46,3,8,0.375,2,5,0.4,0,0,,0,1,1,1,0,1,1,3,8,12
Dwight Howard,15:25,0,1,0,0,0,,2,2,1,2,0,2,0,0,0,1,3,2,-3
Alex Caruso,22:47,1,3,0.333,1,2,0.5,0,0,,0,3,3,3,1,0,3,2,3,-6
Markieff Morris,22:34,0,2,0,0,2,0,0,0,,1,0,1,0,0,0,3,4,0,-2
Kyle Kuzma,22:09,3,10,0.3,0,4,0,1,2,0.5,1,0,1,0,0,1,0,3,7,-17
Rajon Rondo,18:14,1,7,0.143,0,3,0,2,2,1,1,4,5,5,2,0,1,1,4,-13
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
