Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,36:03:00,10,19,0.526,4,7,0.571,1,2,0.5,1,3,4,6,0,0,3,2,25,16
Anthony Davis,34:45:00,11,17,0.647,0,0,,4,4,1,2,6,8,7,2,3,2,4,26,27
Avery Bradley,24:54:00,4,9,0.444,1,4,0.25,0,0,,1,4,5,3,0,0,2,4,9,24
Danny Green,23:18,1,7,0.143,1,5,0.2,1,1,1,1,2,3,2,2,0,2,4,4,17
JaVale McGee,15:54,4,7,0.571,0,0,,1,1,1,3,7,10,1,1,1,1,1,9,20
Kyle Kuzma,25:18:00,3,9,0.333,1,7,0.143,0,0,,1,4,5,1,0,0,4,2,7,-11
Alex Caruso,18:41,3,6,0.5,0,1,0,0,0,,0,3,3,4,0,1,1,1,6,1
Kentavious Caldwell-Pope,17:54,1,6,0.167,0,3,0,0,0,,1,1,2,3,1,0,0,0,2,-3
Dwight Howard,15:21,1,2,0.5,0,0,,0,0,,0,6,6,1,0,0,1,4,2,-10
Quinn Cook,14:45,1,4,0.25,0,2,0,0,0,,0,0,0,2,0,0,2,2,2,-5
Troy Daniels,13:07,1,3,0.333,1,3,0.333,0,0,,0,2,2,0,0,0,0,0,3,-1
Team Totals,240,40,89,0.449,8,32,0.25,7,8,0.875,10,38,48,30,6,5,18,24,95,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
