Name,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,38:24:00,0.689,0.65,0.45,0.45,2.9,27.4,14.9,4.3,0,7.2,4,26.9,141,109,11.6
LeBron James,37:26:00,0.589,0.591,0.364,0.182,6,21.9,13.7,53.3,1.3,0,25.2,35.1,107,113,6.5
Kentavious Caldwell-Pope,30:21:00,0.697,0.722,0.333,0.444,11,0,5.6,18.9,0,0,15.7,17.4,133,119,3.9
Danny Green,26:48:00,0.541,0.429,0.857,0.429,0,8.7,4.3,4.5,0,3.4,19.4,15.9,99,115,-2.6
JaVale McGee,17:01,0.712,0.8,0,0.6,19.7,48.2,33.6,8.9,2.8,27.1,0,15.4,156,83,19.6
Rajon Rondo,25:26:00,0,0,0.8,0,0,9.2,4.5,17.6,1.9,0,28.6,11.4,40,114,-13.2
Avery Bradley,18:50,0.556,0.556,0.333,0,5.9,12.4,9.1,0,0,0,10,21.9,104,117,-6.1
Dwight Howard,18:31,0.667,0.667,0,0,24.1,25.3,24.7,0,0,0,40,11.2,102,116,-7.1
Jared Dudley,16:35,0.3,0.3,0.6,0,0,14.1,6.9,21.7,5.8,0,0,12.5,103,104,4
Alex Caruso,10:38,0.5,0.5,0.5,0,0,11,5.4,0,0,0,33.3,11.7,63,118,-10.9
Team Totals,240,0.582,0.563,0.425,0.264,32.6,87.8,59.5,60.5,5,17.3,16.4,100,114.1,111.1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
