Rk,Name,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
1,LeBron James,35,5,5,178,0.604,0.567,3.2,31.3,18,34.3,2.8,6.2,16.4,32.6,116,103,22.9
2,Anthony Davis,26,5,5,186,0.663,0.613,10.3,30.4,20.5,17.1,1.1,5.1,17.3,28.1,121,107,21.9
3,Kyle Kuzma,24,5,0,123,0.642,0.622,6.4,8,7.6,7,0.8,3.3,8.4,17.7,125,112,8.4
4,Rajon Rondo,33,5,0,133,0.62,0.61,4.2,16.5,10.6,37.1,3.8,1.8,23.3,19.1,119,106,11.8
5,Danny Green,32,5,5,132,0.572,0.566,8.3,8.5,8.5,7.7,0.8,0.9,2.5,13.8,126,114,7.2
6,Markieff Morris,30,5,2,102,0.672,0.672,5.3,13.2,9.8,7.5,0.5,0,11.1,15.9,119,113,6.1
7,Alex Caruso,25,5,0,120,0.646,0.586,2.8,6.4,5.1,15.1,1.7,5.3,19.7,15.2,116,109,6.8
8,Kentavious Caldwell-Pope,26,5,5,141,0.563,0.563,0.7,8.5,4.9,3.6,1.1,0,8.6,11.3,105,114,4.6
9,Talen Horton-Tucker,19,2,0,17,0.583,0.583,0,29.9,17.8,0,6,0,0,31.6,114,89,5
10,Dwight Howard,34,2,0,16,0.442,0,6.5,37.9,22.5,0,3.1,0,18.1,16,87,104,1.2
11,JaVale McGee,32,4,3,30,0.5,0.5,3.4,26.2,16,5.8,0,14.2,33.3,9.1,73,109,1.2
12,Dion Waiters,28,2,0,8,0.205,0,0,0,0,0,0,14.8,0,28.6,49,113,-0.3
13,Jared Dudley,34,2,0,8,0,0,0,0,0,0,0,0,50,10.9,0,112,-1.1
14,J.R. Smith,34,2,0,7,0,0,0,13.3,8.7,0,0,0,0,6.7,0,109,-0.4
,Team Totals,29.4,5,,1200,0.614,0.585,25.4,86.6,58.2,61.8,8.2,16.3,14.7,,116.6,109,
