Rk,Name,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G,STL/G,BLK/G
1,LeBron James,35,5,5,178,46,90,10,34,27,38,4,48,52,37,10,9,21,10,129,0.511,0.294,0.711,35.6,25.8,10.4,7.4,2,1.8
2,Anthony Davis,26,5,5,186,48,80,2,5,29,36,14,48,62,20,4,7,20,13,127,0.6,0.4,0.806,37.3,25.4,12.4,4,0.8,1.4
3,Kyle Kuzma,24,5,0,123,23,41,5,14,5,6,6,9,15,6,2,3,4,13,56,0.561,0.357,0.833,24.5,11.2,3,1.2,0.4,0.6
4,Rajon Rondo,33,5,0,133,21,41,8,18,3,4,4,19,23,35,10,2,13,12,53,0.512,0.444,0.75,26.6,10.6,4.6,7,2,0.4
5,Danny Green,32,5,5,132,16,38,11,26,2,3,8,10,18,8,2,1,1,11,45,0.421,0.423,0.667,26.4,9,3.6,1.6,0.4,0.2
6,Markieff Morris,30,5,2,102,17,32,9,18,0,0,4,12,16,5,1,0,4,10,43,0.531,0.5,,20.5,8.6,3.2,1,0.2,0
7,Alex Caruso,25,5,0,120,14,29,6,17,8,8,3,7,10,12,4,5,8,14,42,0.483,0.353,1,24,8.4,2,2.4,0.8,1
8,Kentavious Caldwell-Pope,26,5,5,141,14,32,8,19,0,0,1,10,11,4,3,0,3,7,36,0.438,0.421,,28.2,7.2,2.2,0.8,0.6,0
9,Talen Horton-Tucker,19,2,0,17,6,12,2,5,0,0,0,5,5,0,2,0,0,4,14,0.5,0.4,,8.5,7,2.5,0,1,0
10,Dwight Howard,34,2,0,16,0,1,0,0,4,8,1,5,6,0,1,0,1,4,4,0,,0.5,7.8,2,3,0,0.5,0
11,JaVale McGee,32,4,3,30,2,4,0,1,0,0,1,7,8,1,0,3,2,2,4,0.5,0,,7.5,1,2,0.3,0,0.8
12,Dion Waiters,28,2,0,8,0,4,0,3,2,2,0,0,0,0,0,1,0,1,2,0,0,1,3.9,1,0,0,0,0.5
13,Jared Dudley,34,2,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,,4.1,0,0,0,0,0
14,J.R. Smith,34,2,0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,,3.4,0,0.5,0,0,0
,Team Totals,29.4,5,,1200,207,406,61,162,80,105,46,181,227,128,39,31,78,103,555,0.51,0.377,0.762,240,111,45.4,25.6,7.8,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
